Gene	logFC	P.Value
AK084778	1.2508774	3.77E-07
NM_024469	1.112216	4.15E-07
NM_010094	1.2652373	4.19E-07
BC065773	1.0146551	4.48E-07
AK145809	1.0884166	4.53E-07
NM_001038592	1.0675894	4.69E-07
AK153761	1.0552053	4.77E-07
AK034892	1.2629937	4.85E-07
XM_001000494	1.1948971	5.37E-07
NM_177653	1.426136	5.88E-07
XM_899617	1.1076783	6.13E-07
XM_991975	1.4256235	7.28E-07
XM_620076	1.2058558	7.46E-07
XM_887206	1.3521764	7.85E-07
BC049715	2.1202327	8.15E-07
BC010247	1.0028818	8.72E-07
NM_010730	1.1064179	9.12E-07
BC024577	1.2655781	9.15E-07
AK037482	1.0925602	9.40E-07
AK143615	1.1351362	9.58E-07
BC050221	1.3990557	1.03E-06
XM_893175	1.5311788	1.03E-06
XM_907359	1.222391	1.13E-06
AK172342	1.055145	1.24E-06
BC018402	1.1677926	1.27E-06
XM_144267	1.497622	1.42E-06
XM_990194	1.4145468	1.48E-06
NM_175303	1.3406924	1.55E-06
AK034424	1.1971364	1.64E-06
NM_148953	1.7274336	1.65E-06
NM_007738	1.2687823	1.77E-06
AK159046	1.5684148	1.80E-06
AK158055	1.207636	1.96E-06
BC018331	1.0155377	2.53E-06
NM_172584	1.2116603	2.64E-06
XM_621774	1.313787	3.01E-06
XM_895406	1.0533542	3.09E-06
NM_177248	1.4393235	3.11E-06
NM_001033140	1.1150379	3.43E-06
NM_025474	1.0585838	3.46E-06
XM_989762	1.0217505	4.10E-06
BC037008	1.5520194	4.13E-06
NM_011426	1.0208514	4.18E-06
BC062815	1.2602566	4.56E-06
XM_901481	1.0423754	4.62E-06
BC023349	1.4327359	4.91E-06
NM_001034865	1.0293103	5.05E-06
XM_894989	1.1726312	5.54E-06
BC010984	1.6893167	6.03E-06
AK150036	1.1916425	6.15E-06
AK031374	1.1683349	6.62E-06
NM_146315	1.0450972	6.90E-06
NM_001039209	1.1757761	8.04E-06
AK018573	1.1021556	8.14E-06
NM_001033476	1.7289481	8.17E-06
NM_139224	1.127256	8.23E-06
XM_620075	1.2374797	8.33E-06
NM_173442	1.3949195	9.09E-06
NM_178695	1.0596304	9.33E-06
BC048436	1.1024582	1.23E-05
BC039126	1.5614502	1.25E-05
NM_001017426	1.0735312	1.29E-05
NM_013521	1.1140811	1.35E-05
NM_146261	1.1794842	1.38E-05
NM_016868	1.2323411	1.39E-05
AK030823	1.5412222	1.39E-05
NM_207175	1.1105216	1.42E-05
XM_619964	1.2677737	1.59E-05
XM_620074	1.2405853	1.67E-05
BC056464	1.0213665	2.55E-05
XM_977327	1.0122521	2.58E-05
NM_011921	1.0764369	2.87E-05
BC049255	1.3867777	3.62E-05
NM_009243	1.2144071	4.02E-05
NM_009246	1.0906004	4.12E-05
NM_001002896	1.2290884	4.24E-05
NM_009779	1.0461421	4.48E-05
NM_145827	1.0468595	4.94E-05
NM_177662	1.0046369	5.30E-05
NM_031176	1.3864578	5.58E-05
NM_172925	1.1115801	6.10E-05
NM_019909	1.0103955	6.50E-05
AK054210	1.2720798	7.35E-05
NM_177306	1.104281	7.58E-05
XM_985255	1.0701805	7.62E-05
NM_026835	1.1671194	7.98E-05
XM_620070	1.0232763	8.45E-05
NM_008842	1.1373455	8.62E-05
NM_207648	1.3850581	8.86E-05
NM_001040426	1.0019817	9.64E-05
AK132616	1.1173821	9.93E-05
XM_486258	1.5743311	1.03E-04
NM_021325	1.2031584	1.08E-04
NM_009244	1.171088	1.27E-04
NM_010797	1.1773273	1.35E-04
NM_011281	1.1500101	1.72E-04
BC104350	1.0749931	2.14E-04
BC057982	1.1772156	2.24E-04
AK028683	1.0169846	2.33E-04
XM_620066	1.0259242	2.44E-04
AK016694	1.1322018	2.90E-04
NM_027366	1.1808133	4.31E-04
